Comunidad,Usuario,Grado entrante,Grado saliente,Grado ponderado
A,Dexanfetamina,267.0,250.0,517.0
A,ciudadano_scz,52.0,200.0,252.0
A,alebalcazar,219.0,23.0,242.0
A,cristhianj1992,180.0,3.0,183.0
A,carmen_jul_,15.0,115.0,130.0
A,angelcaido666x,80.0,50.0,130.0
A,leonardortn,124.0,0.0,124.0
A,carlos_olivera,110.0,0.0,110.0
A,UCruceno,88.0,2.0,90.0
A,Jonatangl,74.0,9.0,83.0
B,Axel1Ray1,350.0,161.0,511.0
B,Calderory,231.0,51.0,282.0
B,tritigrehernan,93.0,66.0,159.0
B,llamerosolo,83.0,56.0,139.0
B,Bol_vamosbien,86.0,14.0,100.0
B,TOJPA,42.0,39.0,81.0
B,axraythel,64.0,16.0,80.0
B,FranklinTerraz2,4.0,75.0,79.0
B,guialbar,0.0,74.0,74.0
B,AdrianaVerito20,0.0,68.0,68.0
C,asaoyvino,398.0,30.0,428.0
C,ciudadan0libre,142.0,2.0,144.0
C,FlokiBoliviano,107.0,4.0,111.0
C,danforever,110.0,0.0,110.0
C,RobertCarhlos,89.0,0.0,89.0
C,viviza3,88.0,0.0,88.0
C,martindiazmeave,77.0,4.0,81.0
C,LetteLop,59.0,18.0,77.0
C,tupackatari51,62.0,10.0,72.0
C,PabloEid,62.0,6.0,68.0
D,evoespueblo,2084.0,0.0,2084.0
D,PorSu_Nombre,0.0,6.0,6.0
D,2011Martina,0.0,5.0,5.0
D,yuriyaguana,0.0,5.0,5.0
D,Hector04748898,0.0,4.0,4.0
D,efrain7272,0.0,4.0,4.0
D,NievaEchii,0.0,4.0,4.0
D,Bachmir,0.0,4.0,4.0
D,marianapbo82,0.0,4.0,4.0
D,Cristin02226447,0.0,3.0,3.0
E,a_luismamanito,4.0,86.0,90.0
E,diarioeldeber,68.0,0.0,68.0
E,noticiasfides,63.0,0.0,63.0
E,nuklive,58.0,5.0,63.0
E,LeonardoPrado83,24.0,4.0,28.0
E,luisca_sl,7.0,20.0,27.0
E,thestreetsays,24.0,1.0,25.0
E,LaRazon_Bolivia,24.0,0.0,24.0
E,LosTiemposBol,23.0,0.0,23.0
E,tazisupay,14.0,5.0,19.0